ticker,volume,time,buy\short_price,min_price,min_price_time,max_price,max_price_time,RPS_(30%)_SL_1%,RPS_(30%)_SL_2%,RPS_(30%)_SL_3%,RPS_(30%)_SL_4%,RPS_(30%)_SL_5%,max_loss_%,RPB_(30%)_SL_1%,RPB_(30%)_SL_2%,RPB_(30%)_SL_3%,RPB_(30%)_SL_4%,RPB_(30%)_SL_5%,max_proffit_%
DUSDT,6.09,2026-01-17 15:31:15,0.01346,0.01346,,0.01346,,,,,,,,,,,,,
LPTUSDT,5.58,2026-01-17 15:32:15,3.359,3.359,,3.359,,,,,,,,,,,,,
DEGOUSDT,5.73,2026-01-17 15:36:17,0.504,0.504,,0.504,,,,,,,,,,,,,
VINEUSDT,5.63,2026-01-17 15:41:16,0.02929,0.02929,,0.02929,,,,,,,,,,,,,
TAIKOUSDT,8.96,2026-01-17 15:48:15,0.1811,0.1811,,0.1811,,,,,,,,,,,,,
COWUSDT,5.28,2026-01-17 15:53:15,0.25,0.25,,0.25,,,,,,,,,,,,,
ESPORTSUSDT,5.53,2026-01-17 15:56:15,0.46349,0.46349,,0.46349,,,,,,,,,,,,,
FLUIDUSDT,10.26,2026-01-17 16:15:16,3.384,3.384,,3.384,,,,,,,,,,,,,
ANIMEUSDT,5.42,2026-01-17 16:17:15,0.0078,0.0078,,0.0078,,,,,,,,,,,,,
YFIUSDT,6.71,2026-01-17 16:36:15,3697.0,3697.0,,3697.0,,,,,,,,,,,,,
AVAXUSDT,5.06,2026-01-17 16:37:15,13.91,13.91,,13.91,,,,,,,,,,,,,
DYDXUSDT,5.18,2026-01-17 16:37:17,0.202,0.202,,0.202,,,,,,,,,,,,,
ADAUSDT,6.99,2026-01-17 16:41:15,0.4014,0.4014,,0.4014,,,,,,,,,,,,,
WLDUSDT,5.38,2026-01-17 16:42:15,0.5629,0.5629,,0.5629,,,,,,,,,,,,,
KERNELUSDT,5.61,2026-01-17 16:43:15,0.07657,0.07657,,0.07657,,,,,,,,,,,,,
TUTUSDT,7.2,2026-01-17 16:44:16,0.01692,0.01692,,0.01692,,,,,,,,,,,,,
LYNUSDT,5.28,2026-01-17 16:46:15,0.08471,0.08471,,0.08471,,,,,,,,,,,,,
ZILUSDT,6.69,2026-01-17 16:46:16,0.00606,0.00606,,0.00606,,,,,,,,,,,,,
BLURUSDT,6.61,2026-01-17 16:49:16,0.04176,0.04176,,0.04176,,,,,,,,,,,,,
STOUSDT,5.79,2026-01-17 16:50:16,0.08546,0.08546,,0.08546,,,,,,,,,,,,,
HFTUSDT,6.14,2026-01-17 17:01:16,0.03112,0.03112,,0.03112,,,,,,,,,,,,,
SUSHIUSDT,5.92,2026-01-17 17:02:16,0.3595,0.3595,,0.3595,,,,,,,,,,,,,
RPLUSDT,11.36,2026-01-17 17:03:15,2.304,2.304,,2.304,,,,,,,,,,,,,
ETHUSDT_260626,5.43,2026-01-17 17:07:16,3370.69,3370.69,,3370.69,,,,,,,,,,,,,
CTSIUSDT,5.03,2026-01-17 17:10:16,0.0397,0.0397,,0.0397,,,,,,,,,,,,,
MAGICUSDT,6.78,2026-01-17 17:11:16,0.1085,0.1085,,0.1085,,,,,,,,,,,,,
ETHBTC,8.71,2026-01-17 17:12:16,0.034691,0.034691,,0.034691,,,,,,,,,,,,,
TRUMPUSDT,5.93,2026-01-17 17:13:15,5.465,5.465,,5.465,,,,,,,,,,,,,
ETHUSDT,5.43,2026-01-17 17:20:16,3318.0,3318.0,,3318.0,,,,,,,,,,,,,
XRPUSDT,9.37,2026-01-17 17:20:17,2.0802,2.0802,,2.0802,,,,,,,,,,,,,
WLFIUSDT,5.97,2026-01-17 17:21:15,0.1701,0.1701,,0.1701,,,,,,,,,,,,,
LIGHTUSDT,9.83,2026-01-17 17:35:16,0.5966,0.5966,,0.5966,,,,,,,,,,,,,
PLAYUSDT,6.34,2026-01-17 17:39:15,0.0726,0.0726,,0.0726,,,,,,,,,,,,,
TOSHIUSDT,5.29,2026-01-17 17:51:15,0.0003381,0.0003381,,0.0003381,,,,,,,,,,,,,
BNBUSDT,11.84,2026-01-17 17:54:15,960.5,960.5,,960.5,,,,,,,,,,,,,
AIOTUSDT,7.27,2026-01-17 17:54:16,0.0894,0.0894,,0.0894,,,,,,,,,,,,,
DOGEUSDT,6.26,2026-01-17 17:56:16,0.13987,0.13987,,0.13987,,,,,,,,,,,,,
MOODENGUSDT,5.15,2026-01-17 17:56:17,0.07977,0.07977,,0.07977,,,,,,,,,,,,,
AGTUSDT,5.77,2026-01-17 17:56:18,0.003567,0.003567,,0.003567,,,,,,,,,,,,,
EIGENUSDT,5.39,2026-01-17 18:00:16,0.42,0.42,,0.42,,,,,,,,,,,,,
DAMUSDT,12.65,2026-01-17 19:01:16,0.02868,0.02868,,0.02868,,,,,,,,,,,,,
BOBUSDT,5.24,2026-01-17 19:32:15,0.010867,0.010867,,0.010867,,,,,,,,,,,,,
HMSTRUSDT,5.26,2026-01-17 19:33:15,0.0002752,0.0002752,,0.0002752,,,,,,,,,,,,,
DOGSUSDT,7.46,2026-01-17 19:39:16,4.93e-05,4.93e-05,,4.93e-05,,,,,,,,,,,,,
GRASSUSDT,6.16,2026-01-17 20:47:16,0.337,0.337,,0.337,,,,,,,,,,,,,
FORTHUSDT,15.19,2026-01-17 20:59:15,1.837,1.837,,1.837,,,,,,,,,,,,,
ERAUSDT,5.68,2026-01-17 21:04:15,0.2312,0.2312,,0.2312,,,,,,,,,,,,,
CGPTUSDT,6.01,2026-01-17 21:06:15,0.03669,0.03669,,0.03669,,,,,,,,,,,,,
COOKIEUSDT,6.08,2026-01-17 22:29:15,0.03798,0.03798,,0.03798,,,,,,,,,,,,,
VANRYUSDT,5.26,2026-01-17 23:01:16,0.009158,0.009158,,0.009158,,,,,,,,,,,,,
SUPERUSDT,6.18,2026-01-17 23:10:15,0.2351,0.2351,,0.2351,,,,,,,,,,,,,
WCTUSDT,6.6,2026-01-17 23:32:15,0.08082,0.08082,,0.08082,,,,,,,,,,,,,
OGNUSDT,7.47,2026-01-18 00:08:15,0.0341,0.0341,,0.0341,,,,,,,,,,,,,
